[ 2014-12-03T21:58:59+08:00 ] /thinkphpTest/admin.php/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000437s ]
[ 2014-12-03T21:58:59+08:00 ] /thinkphpTest/admin.php/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000486s ]
[ 2014-12-03T21:58:59+08:00 ] /thinkphpTest/admin.php/ | INFO: Tag[ view_template ] --START--
[ 2014-12-03T21:58:59+08:00 ] /thinkphpTest/admin.php/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000370s ]
[ 2014-12-03T21:58:59+08:00 ] /thinkphpTest/admin.php/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.000439s ]
[ 2014-12-03T21:58:59+08:00 ] /thinkphpTest/admin.php/ | INFO: Tag[ view_parse ] --START--
[ 2014-12-03T21:58:59+08:00 ] /thinkphpTest/admin.php/ | INFO: Run ParseTemplate Behavior [ RunTime:0.070771s ]
[ 2014-12-03T21:58:59+08:00 ] /thinkphpTest/admin.php/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.070868s ]
[ 2014-12-03T21:58:59+08:00 ] /thinkphpTest/admin.php/ | INFO: Tag[ view_filter ] --START--
[ 2014-12-03T21:58:59+08:00 ] /thinkphpTest/admin.php/ | INFO: Run ContentReplace Behavior [ RunTime:0.000488s ]
[ 2014-12-03T21:58:59+08:00 ] /thinkphpTest/admin.php/ | INFO: Run TokenBuild Behavior [ RunTime:0.000444s ]
[ 2014-12-03T21:58:59+08:00 ] /thinkphpTest/admin.php/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000208s ]
[ 2014-12-03T21:58:59+08:00 ] /thinkphpTest/admin.php/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000381s ]
[ 2014-12-03T21:58:59+08:00 ] /thinkphpTest/admin.php/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001676s ]
[ 2014-12-03T21:58:59+08:00 ] /thinkphpTest/admin.php/ | INFO: Tag[ view_end ] --START--
[ 2014-12-03T21:58:59+08:00 ] /thinkphpTest/admin.php/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000682s ]
[ 2014-12-03T21:58:59+08:00 ] /thinkphpTest/admin.php/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000842s ]
[ 2014-12-03T21:59:00+08:00 ] /thinkphpTest/admin.php/resources/images/closelabel.gif | ERR: (ThinkException) 无法加载模块resources
[ 2014-12-03T22:01:30+08:00 ] /thinkphpTest/admin.php/ | INFO: Tag[ route_check ] --START--
[ 2014-12-03T22:01:30+08:00 ] /thinkphpTest/admin.php/ | INFO: Run CheckRoute Behavior [ RunTime:0.001446s ]
[ 2014-12-03T22:01:30+08:00 ] /thinkphpTest/admin.php/ | INFO: Tag[ route_check ] --END-- [ RunTime:0.001625s ]
[ 2014-12-03T22:01:30+08:00 ] /thinkphpTest/admin.php/ | INFO: Tag[ app_begin ] --START--
[ 2014-12-03T22:01:30+08:00 ] /thinkphpTest/admin.php/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001986s ]
[ 2014-12-03T22:01:30+08:00 ] /thinkphpTest/admin.php/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.002106s ]
[ 2014-12-03T22:01:30+08:00 ] /thinkphpTest/admin.php/ | INFO: Tag[ view_template ] --START--
